First,Last,EmpID,MarriedID,MaritalStatusID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerName,PerformanceScore,EngagementSurvey,EmpSatisfaction,LastPerformanceReview_Date,DaysLateLast30,Absences
Spirea,Kelley,10090,1,1,1,5,3,65714,0,18,MA,2451,9/30/1975,F,Married,10/2/2012,,N/A-StillEmployed,Active,Janet King,Fully Meets,4.83,5,2/14/2019,0,15
Squatrito,Kristen,10030,0,2,5,5,4,62425,1,19,MA,2359,3/26/1973,F,Divorced,5/13/2013,6/29/2015,unhappy,Voluntarily Terminated,David Stanley,Exceeds,4.1,4,3/2/2015,0,16
Stanford,Barbara,10278,0,2,1,5,3,47961,0,19,MA,2050,8/25/1982,F,Divorced,1/10/2011,,N/A-StillEmployed,Active,Kissy Sullivan,Fully Meets,4.1,4,2/7/2019,0,9
Stansfield,Norman,10307,1,1,1,6,1,58273,0,3,NV,89139,5/9/1974,M ,Married,5/12/2014,,N/A-StillEmployed,Active,Lynn Daneault,PIP,1.81,2,1/17/2019,3,5
Steans,Tyrone,10147,0,0,1,1,3,63003,0,1,MA,2703,9/1/1986,M ,Single,9/29/2014,,N/A-StillEmployed,Active,Brandon R. LeBlanc,Fully Meets,3.9,5,1/18/2019,0,9
Stoica,Rick,10266,1,1,1,5,3,61355,0,19,MA,2301,3/14/1985,M ,Married,2/17/2014,,N/A-StillEmployed,Active,Kelley Spirea,Fully Meets,4.7,3,1/11/2019,0,4
Strong,Caitrin,10241,1,1,1,6,3,60120,0,3,MT,59102,5/12/1989,F,Married,9/27/2010,,N/A-StillEmployed,Active,John Smith,Fully Meets,4.1,4,1/31/2019,0,18
Sullivan,Kissy,10158,1,1,1,5,3,63682,0,18,MA,1776,3/28/1978,F,Married,1/8/2009,,N/A-StillEmployed,Active,Janet King,Fully Meets,3.73,4,1/24/2019,0,12
Sullivan,Timothy,10117,1,1,1,5,3,63025,0,19,MA,2747,10/7/1982,M ,Married,1/5/2015,,N/A-StillEmployed,Active,Michael Albert,Fully Meets,4.36,5,1/24/2019,0,10
Sutwell,Barbara,10209,0,0,1,5,3,59238,0,19,MA,2718,8/15/1968,F,Single,5/14/2012,,N/A-StillEmployed,Active,Elijiah Gray,Fully Meets,3.4,5,1/31/2019,0,13
Szabo,Andrew,10024,0,0,1,7,4,92989,0,24,MA,2140,5/6/1983,M ,Single,7/7/2014,,N/A-StillEmployed,Active,Alex Sweetwater,Exceeds,4.5,5,2/18/2019,0,1
Tannen,Biff,10173,1,1,1,3,3,90100,0,4,MA,2134,10/24/1987,M ,Married,4/20/2017,,N/A-StillEmployed,Active,Brian Champaigne,Fully Meets,3.4,3,1/2/2019,0,14
Tavares,Desiree,10221,1,1,5,5,3,60754,1,19,MA,1801,4/3/1975,F,Married,4/27/2009,4/1/2013,Another position,Voluntarily Terminated,Webster Butler,Fully Meets,4.5,5,2/15/2012,0,11
Tejeda,Lenora,10146,1,1,5,5,3,72202,1,20,MA,2129,5/24/1953,F,Married,5/16/2011,7/8/2017,Another position,Voluntarily Terminated,Elijiah Gray,Fully Meets,3.93,3,4/18/2017,0,3
Terry,Sharlene,10161,0,0,1,6,3,58370,0,3,OR,97756,5/7/1965,F,Single,9/29/2014,,N/A-StillEmployed,Active,Lynn Daneault,Fully Meets,3.69,3,1/28/2019,0,18
Theamstern,Sophia,10141,0,0,5,5,3,48413,1,19,MA,2066,5/9/1965,F,Single,7/5/2011,9/5/2016,return to school,Voluntarily Terminated,Amy Dunn,Fully Meets,3.98,4,3/2/2016,0,1
Thibaud,Kenneth,10268,0,4,5,5,3,67176,1,20,MA,2472,9/16/1975,M ,Widowed,6/25/2007,8/30/2010,military,Voluntarily Terminated,Webster Butler,Fully Meets,4.1,4,7/14/2010,0,15
Tippett,Jeanette,10123,0,2,1,5,3,56339,0,19,MA,2093,6/5/1967,F,Divorced,2/18/2013,,N/A-StillEmployed,Active,Brannon Miller,Fully Meets,4.21,5,1/14/2019,0,4
Torrence,Jack,10013,0,3,1,6,4,64397,0,3,ND,58782,1/15/1968,M ,Separated,1/9/2006,,N/A-StillEmployed,Active,Lynn Daneault,Exceeds,4.1,3,1/4/2019,0,6
Trang,Mei,10287,0,0,1,5,2,63025,0,19,MA,2021,5/16/1983,F,Single,2/17/2014,,N/A-StillEmployed,Active,David Stanley,Needs Improvement,2.44,5,2/11/2019,4,18
Tredinnick,Neville,10044,1,1,5,3,3,75281,1,15,MA,1420,5/5/1988,M ,Married,1/5/2015,2/12/2016,medical issues,Voluntarily Terminated,Peter Monroe,Fully Meets,5,3,4/15/2015,0,11
TRUE,Edward,10102,0,0,5,7,3,100416,1,24,MA,2451,6/14/1983,M ,Single,2/18/2013,4/15/2018,medical issues,Voluntarily Terminated,Alex Sweetwater,Fully Meets,4.6,3,2/12/2017,0,9
Trzeciak,Cybil,10270,0,0,5,5,3,74813,1,20,MA,1778,3/15/1985,F,Single,1/10/2011,7/2/2014,unhappy,Voluntarily Terminated,Amy Dunn,Fully Meets,4.4,3,1/5/2014,0,5
Turpin,Jumil,10045,1,1,1,3,3,76029,0,15,MA,2343,3/31/1969,M ,Married,3/30/2015,,N/A-StillEmployed,Active,Peter Monroe,Fully Meets,5,4,1/14/2019,0,8
Valentin,Jackie,10205,1,1,1,6,3,57859,0,3,AZ,85006,5/23/1991,F,Married,7/5/2011,,N/A-StillEmployed,Active,John Smith,Fully Meets,2.81,3,1/17/2019,0,16
Veera,Abdellah,10014,0,2,5,5,4,58523,1,19,MA,2171,1/31/1987,M ,Divorced,8/13/2012,2/5/2016,maternity leave - did not return,Voluntarily Terminated,Kissy Sullivan,Exceeds,4.5,5,2/1/2016,0,15
Vega,Vincent,10144,0,2,1,5,3,88976,0,17,MA,2169,10/10/1968,M ,Divorced,8/1/2011,,N/A-StillEmployed,Active,Janet King,Fully Meets,3.93,3,2/27/2019,0,19
Villanueva,Noah,10253,0,0,1,6,3,55875,0,3,ME,4063,7/11/1989,M ,Single,3/5/2012,,N/A-StillEmployed,Active,John Smith,Fully Meets,4.5,4,1/18/2019,0,11
Voldemort,Lord,10118,1,1,4,3,3,113999,1,8,MA,1960,8/7/1986,M ,Married,2/16/2015,2/22/2017,no-call/ no-show,Terminated for Cause,Simon Roup,Fully Meets,4.33,3,2/15/2017,0,9
Volk,Colleen,10022,1,1,4,5,4,49773,1,19,MA,2747,6/3/1986,F,Married,9/26/2011,2/8/2016,gross misconduct,Terminated for Cause,Kelley Spirea,Exceeds,4.3,5,2/1/2015,0,18
Von Massenbach,Anna,10183,0,0,2,5,3,62068,0,19,MA,2124,4/6/1985,F,Single,7/5/2015,,N/A-StillEmployed,Active,Michael Albert,Fully Meets,3.21,3,1/29/2019,0,7
Walker,Roger,10190,0,0,1,5,3,66541,0,20,MA,2459,2/10/1976,M ,Single,8/18/2014,,N/A-StillEmployed,Active,Ketsia Liebig,Fully Meets,3.11,5,2/12/2019,0,4
Wallace,Courtney,10274,1,1,5,5,3,80512,1,18,MA,2478,11/14/1955,F,Married,9/26/2011,1/2/2012,Another position,Voluntarily Terminated,Janet King,Fully Meets,4.5,3,1/2/2012,0,5
Wallace,Theresa,10293,0,0,5,5,2,50274,1,19,MA,1887,8/2/1980,F,Single,8/13/2012,9/1/2015,career change,Voluntarily Terminated,Elijiah Gray,Needs Improvement,2.5,3,9/5/2014,6,13
Wang,Charlie,10172,0,0,1,3,3,84903,0,22,MA,1887,7/8/1981,M ,Single,2/15/2017,,N/A-StillEmployed,Active,Brian Champaigne,Fully Meets,3.42,4,1/4/2019,0,17
Warfield,Sarah,10127,0,4,1,3,3,107226,0,28,MA,2453,5/2/1978,F,Widowed,3/30/2015,,N/A-StillEmployed,Active,Peter Monroe,Fully Meets,4.2,4,2/5/2019,0,7
Whittier,Scott,10072,0,0,5,5,3,58371,1,19,MA,2030,5/24/1987,M ,Single,1/10/2011,5/15/2014,hours,Voluntarily Terminated,Webster Butler,Fully Meets,5,5,5/15/2014,0,11
Wilber,Barry,10048,1,1,5,5,3,55140,1,19,MA,2324,9/9/1965,M ,Married,5/16/2011,9/7/2015,unhappy,Voluntarily Terminated,Amy Dunn,Fully Meets,5,3,2/15/2015,0,7
Wilkes,Annie,10204,0,2,5,5,3,58062,1,19,MA,1876,7/30/1983,F,Divorced,1/10/2011,5/14/2012,Another position,Voluntarily Terminated,Ketsia Liebig,Fully Meets,3.6,5,2/6/2011,0,9
Williams,Jacquelyn,10264,0,0,5,5,3,59728,1,19,MA,2109,10/2/1969,F,Single,1/9/2012,6/27/2015,relocation out of area,Voluntarily Terminated,Ketsia Liebig,Fully Meets,4.3,4,6/2/2014,0,16
Winthrop,Jordan,10033,0,0,5,5,4,70507,1,20,MA,2045,11/7/1958,M ,Single,1/7/2013,2/21/2016,retiring,Voluntarily Terminated,Brannon Miller,Exceeds,5,3,1/19/2016,0,7
Wolk,Hang,10174,0,0,1,5,3,60446,0,20,MA,2302,4/20/1985,F,Single,9/29/2014,,N/A-StillEmployed,Active,David Stanley,Fully Meets,3.4,4,2/21/2019,0,14
Woodson,Jason,10135,0,0,1,5,3,65893,0,20,MA,1810,5/11/1985,M ,Single,7/7/2014,,N/A-StillEmployed,Active,Kissy Sullivan,Fully Meets,4.07,4,2/28/2019,0,13
Ybarra,Catherine,10301,0,0,5,5,1,48513,1,19,MA,2458,5/4/1982,F,Single,9/2/2008,9/29/2015,Another position,Voluntarily Terminated,Brannon Miller,PIP,3.2,2,9/2/2015,5,4
Zamora,Jennifer,10010,0,0,1,3,4,220450,0,6,MA,2067,8/30/1979,F,Single,4/10/2010,,N/A-StillEmployed,Active,Janet King,Exceeds,4.6,5,2/21/2019,0,16
Zhou,Julia,10043,0,0,1,3,3,89292,0,9,MA,2148,2/24/1979,F,Single,3/30/2015,,N/A-StillEmployed,Active,Simon Roup,Fully Meets,5,3,2/1/2019,0,11
Zima,Colleen,10271,0,4,1,5,3,45046,0,19,MA,1730,8/17/1978,F,Widowed,9/29/2014,,N/A-StillEmployed,Active,David Stanley,Fully Meets,4.5,5,1/30/2019,0,2
